Name English,Current Council,Name French,Year,Person,Position English,Position French,Phone,Fax,Website,Neighbourhoods
River Heights - Fort Garry,False,River Heights-Fort Garry,2018,John Orlikow,Councillor,Conseiller,204-986-5236,204-986-3725,http://www.orlikow.ca/,"Crescentwood, Beaumont, Grant Park, Maybank, Rockwood, Central River Heights, J. B. Mitchell, Mathers, North River Heights, Sir John Franklin, South River Heights, Wellington Crescent, Linden Woods, Pembina Strip, Buffalo, Chevrier, Parker, Brockville"
Elmwood - East Kildonan,False,Elmwood-Kildonan-Est,2014,Jason Schreyer,Councillor,Conseiller,204-986-5195,204-986-3725,http://jasonschreyer.ca/,"Chalmers, Talbot-Grey, East Elmwood, Munroe West, Glenelm, Munroe East, Valley Gardens, Eaglemere, Kildonan Crossing, Tyne-Tees, Rossmere-B"
North Kildonan,False,Kildonan-Nord,2014,Jeff Browaty,Councillor,Conseiller,204-986-5196,204-986-3725,,"Kildonan Drive, Rossmere-A, River East, Springfield North, Springfield South, Valhalla, Kil-Cona Park, Mcleod Industrial"
St. Boniface,False,Saint-Boniface,2018,Matt Allard,Councillor,Conseiller,204-396-4636,204-986-3725,http://www.councillormattallard.ca/,"North St. Boniface, Central St. Boniface, Tissot, Archwood, Dufresne, Holden, Maginot, Norwood East, Norwood West, Windsor Park, Stock Yards, The Mint, Mission Industrial, Niakwa Park, Niakwa Place, Southdale, Island Lakes"
St. Vital,True,Saint-Vital,2022,Brian Mayes,Councillor,Conseiller,204-986-5088,204-986-3725,http://www.brianmayes.com/,"Alpine Place, Elm Park, Glenwood, Lavalee, Norberry, St. George, Varennes, Worthington, Kingston Crescent, Minnetonka, Pulberry, Victoria Crescent, Vista, St. Vital Centre, Sage Creek, Meadowood, Royalwood, Fraipont"
Elmwood - East Kildonan,False,Elmwood-Kildonan-Est,2018,Jason Schreyer,Councillor,Conseiller,204-986-5195,204-986-3725,http://jasonschreyer.ca/,"Chalmers, Talbot-Grey, East Elmwood, Munroe West, Glenelm, Munroe East, Valley Gardens, Eaglemere, Kildonan Crossing, Tyne-Tees, Rossmere-B"
St. Norbert - Seine River,True,Saint-Norbert&#8211;Rivi&#232;re-Seine,2022,Markus Chambers,Councillor,Conseiller,204-986-5920,204-986-3725,,"Normand Park, River Park South, Dakota Crossing, St. Vital Perimeter South, Maple Grove Park, Fort Richmond, St. Norbert, Cloutier Drive, Richmond Lakes, University, Parc La Salle, Turnbull Drive, Perrault, Trappistes, La Barriere"
Mynarski,False,Mynarski,2014,Ross Eadie,Councillor,Conseiller,204-986-5188,204-986-3726,,"Dufferin, William Whyte, Luxton, St. John's, Inkster-Faraday, Jefferson, North Point Douglas, St. John's Park, Seven Oaks, Margaret Park, Dufferin Industrial, Kildonan Park, Lord Selkirk Park"
South Winnipeg - St. Norbert,False,Winnipeg-Sud-Saint-Norbert,2014,Janice Lukes,Councillor,Conseill&#232;re,204-986-6824,204-986-3725,http://janicelukes.ca/,"Normand Park, River Park South, Agassiz, Fort Richmond, St. Norbert, Cloutier Drive, Fairfield Park, Richmond West, Montcalm, Richmond Lakes, Waverley Heights, University, Parc La Salle, Turnbull Drive, Perrault, Trappistes, La Barriere, Bridgwater Forest, Waverley West B, South Pointe, South Pointe West, Bridgwater Trails, Bridgwater Lakes, Bridgwater Centre"
Daniel McIntyre,True,Daniel-McIntyre,2022,Cindy Gilroy,Councillor,Conseill&#232;re,204-986-5951,204-986-3725,http://www.cindygilroy.com/,"Spence, Daniel Mcintyre, St. Matthews, Wolseley, Minto, Sargent Park, Colony, Portage-Ellice, Central Park"
St. Boniface,False,Saint-Boniface,2014,Matt Allard,Councillor,Conseiller,204-396-4636,204-986-3725,http://www.councillormattallard.ca/,"North St. Boniface, Central St. Boniface, Tissot, Archwood, Dufresne, Holden, Maginot, Norwood East, Norwood West, Windsor Park, Dugald, St. Boniface Industrial Park, Stock Yards, Symington Yards, The Mint, Southland Park, Mission Industrial, Niakwa Park, Niakwa Place, Southdale, Sage Creek, Royalwood, Island Lakes, Fraipont"
Charleswood - Tuxedo - Westwood,True,Charleswood-Tuxedo-Westwood,2022,Evan Duncan,Councillor,Conseiller,204-986-5232,204-986-3725,,"Glendale, Kirkfield, Westwood, Assiniboia Downs, Varsity View, Edgeland, Eric Coy, Marlton, Tuxedo, Old Tuxedo, Ridgedale, River West Park, Roblin Park, Southboine, Vialoux, Westdale, Betsworth, Elmhurst, South Tuxedo, Ridgewood South, Wilkes South, Assiniboine Park, Tuxedo Industrial, West Perimeter South"
St. Boniface,True,Saint-Boniface,2022,Matt Allard,Councillor,Conseiller,204-396-4636,204-986-3725,http://www.councillormattallard.ca/,"North St. Boniface, Central St. Boniface, Tissot, Archwood, Dufresne, Holden, Maginot, Norwood East, Norwood West, Windsor Park, Stock Yards, The Mint, Mission Industrial, Niakwa Park, Niakwa Place, Southdale, Island Lakes"
Waverley West,True,Waverley-Ouest,2022,Janice Lukes,Councillor,Conseill&#232;re,204-986-6824,204-986-3725,http://janicelukes.ca/,"West Fort Garry Industrial, Linden Ridge, Whyte Ridge, University Heights, Fairfield Park, Richmond West, Waverley Heights, Bridgwater Forest, Bison Run, South Pointe, Prairie Pointe, Bridgwater Trails, Bridgwater Lakes, Bridgwater Centre"
River Heights - Fort Garry,True,River Heights-Fort Garry,2022,John Orlikow,Councillor,Conseiller,204-986-5236,204-986-3725,http://www.orlikow.ca/,"Crescentwood, Beaumont, Grant Park, Maybank, Rockwood, Central River Heights, J. B. Mitchell, Mathers, North River Heights, Sir John Franklin, South River Heights, Wellington Crescent, Linden Woods, Pembina Strip, Buffalo, Chevrier, Parker, Brockville"
St. Norbert - Seine River,False,Saint-Norbert&#8211;Rivi&#232;re-Seine,2018,Markus Chambers,Councillor,Conseiller,204-986-5920,204-986-3725,,"Normand Park, River Park South, Dakota Crossing, St. Vital Perimeter South, Maple Grove Park, Fort Richmond, St. Norbert, Cloutier Drive, Richmond Lakes, University, Parc La Salle, Turnbull Drive, Perrault, Trappistes, La Barriere"
St. Vital,False,Saint-Vital,2018,Brian Mayes,Councillor,Conseiller,204-986-5088,204-986-3725,http://www.brianmayes.com/,"Alpine Place, Elm Park, Glenwood, Lavalee, Norberry, St. George, Varennes, Worthington, Kingston Crescent, Minnetonka, Pulberry, Victoria Crescent, Vista, St. Vital Centre, Sage Creek, Meadowood, Royalwood, Fraipont"
Old Kildonan,False,Old Kildonan,2014,Devi Sharma,Councillor,Conseill&#232;re,204-986-5264,204-986-7806,,"Garden City, The Maples, Leila-Mcphillips Triangle, Mandalay West, Rivergrove, Riverbend, Templeton-Sinclair, Leila North, North Inkster Industrial, West Kildonan Industrial, Rosser-Old Kildonan, Amber Trails"
Point Douglas,False,Point Douglas,2018,Vivian Santos,Councillor,Conseill&#232;re,204-986-8401,204-986-3725,,"Weston, Brooklands, Omand's Creek Industrial, Logan-C.p.r., Centennial, West Alexander, Pacific Industrial, South Point Douglas, Exchange District, Portage & Main, China Town, Civic Centre, Burrows Central, Burrows-Keewatin, Shaughnessy Park, Inkster Gardens, Tyndall Park, Inkster Industrial Park, Weston Shops, Oak Point Highway"
Point Douglas,False,Point Douglas,2014,Mike Pagtakhan,Councillor,Conseiller,204-986-8401,204-986-3725,http://www.mikepagtakhan.ca/,"Logan-C.p.r., Centennial, West Alexander, Pacific Industrial, South Point Douglas, Exchange District, Portage & Main, China Town, Civic Centre, Dufferin, Burrows Central, Burrows-Keewatin, Mynarski, Robertson, Shaughnessy Park, Inkster Gardens, Tyndall Park, Inkster Industrial Park, Weston Shops, Oak Point Highway"
Transcona,False,Transcona,2014,Russ Wyatt,Councillor,Conseiller,204-986-8087,204-986-8549,,"Melrose, Victoria West, Kern Park, Radisson, Kildare-Redonda, Canterbury Park, Meadows, Mission Gardens, Peguis, Grassie, Transcona South, Griffin, North Transcona Yards, Transcona Yards, Regent, Transcona North"
North Kildonan,True,Kildonan-Nord,2022,Jeff Browaty,Councillor,Conseiller,204-986-5196,204-986-3725,,"Rivergrove, Riverbend, Kildonan Drive, Rossmere-A, River East, Springfield North, Springfield South, Valhalla, Kil-Cona Park, Mcleod Industrial"
St. James - Brooklands - Weston,False,St. James-Brooklands-Weston,2014,Scott Gillingham,Councillor,Conseiller,204-986-5848,204-986-4320,http://www.scottgillingham.ca/,"Weston, Brooklands, Polo Park, Kensington, King Edward, Bruce Park, Deer Lodge, Birchwood, Booth, Jameswood, Silver Heights, Woodhaven, Airport, Murray Industrial Park, St. James Industrial, Omand's Creek Industrial, West Wolseley"
St. Charles,False,St. Charles,2014,Shawn Dobson,Councillor,Conseiller,204-986-5920,204-986-3725,,"Buchanan, Crestview, Glendale, Heritage Park, Sturgeon Creek, Kirkfield, Saskatchewan North, Westwood, Assiniboia Downs"
Transcona,True,Transcona,2022,Russ Wyatt,Councillor,Conseiller,204-986-8087,204-986-3725,,"Melrose, Victoria West, Kern Park, Radisson, Kildare-Redonda, Canterbury Park, Meadows, Mission Gardens, Peguis, Grassie, Transcona South, Griffin, North Transcona Yards, Transcona Yards, Regent, Transcona North, Dugald, St. Boniface Industrial Park, Symington Yards, Southland Park"
Waverley West,False,Waverley-Ouest,2018,Janice Lukes,Councillor,Conseill&#232;re,204-986-6824,204-986-3725,http://janicelukes.ca/,"West Fort Garry Industrial, Linden Ridge, Whyte Ridge, Agassiz, Fairfield Park, Richmond West, Montcalm, Waverley Heights, Bridgwater Forest, Waverley West B, South Pointe, South Pointe West, Bridgwater Trails, Bridgwater Lakes, Bridgwater Centre"
Charleswood - Tuxedo - Westwood,False,Charleswood-Tuxedo-Westwood,2018,Kevin Klein,Councillor,Conseiller,204-986-5232,204-986-3725,,"Glendale, Kirkfield, Westwood, Assiniboia Downs, Varsity View, Edgeland, Eric Coy, Marlton, Tuxedo, Old Tuxedo, Ridgedale, River West Park, Roblin Park, Southboine, Vialoux, Westdale, Betsworth, Elmhurst, South Tuxedo, Ridgewood South, Wilkes South, Assiniboine Park, Tuxedo Industrial, West Perimeter South"
Old Kildonan,False,Old Kildonan,2018,Devi Sharma,Councillor,Conseill&#232;re,204-986-5264,204-986-7806,http://www.devisharma.ca,"Garden City, The Maples, Leila-Mcphillips Triangle, Mandalay West, Templeton-Sinclair, Leila North, North Inkster Industrial, West Kildonan Industrial, Rosser-Old Kildonan, Amber Trails"
Point Douglas,True,Point Douglas,2022,Vivian Santos,Councillor,Conseill&#232;re,204-986-8401,204-986-3725,,"Weston, Brooklands, Omand's Creek Industrial, Logan-C.p.r., Centennial, West Alexander, Pacific Industrial, South Point Douglas, Exchange District, Portage & Main, China Town, Civic Centre, Burrows Central, Burrows-Keewatin, Shaughnessy Park, Inkster Gardens, Tyndall Park, Inkster Industrial Park, Weston Shops, Oak Point Highway"
Mynarski,True,Mynarski,2022,Ross Eadie,Councillor,Conseiller,204-986-5188,204-986-3726,,"Dufferin, William Whyte, Luxton, St. John's, Inkster-Faraday, Jefferson, Mynarski, North Point Douglas, Robertson, St. John's Park, Seven Oaks, Margaret Park, Dufferin Industrial, Kildonan Park, Lord Selkirk Park"
Winnipeg,False,Winnipeg,2018,Brian Bowman,Mayor,maire de,204-986-5665,204-949-0566,https://www.mayorbowman.ca/,
North Kildonan,False,Kildonan-Nord,2018,Jeff Browaty,Councillor,Conseiller,204-986-5196,204-986-3725,,"Rivergrove, Riverbend, Kildonan Drive, Rossmere-A, River East, Springfield North, Springfield South, Valhalla, Kil-Cona Park, Mcleod Industrial"
Daniel McIntyre,False,Daniel-McIntyre,2014,Cindy Gilroy,Councillor,Conseill&#232;re,204-986-5951,204-986-3725,http://www.cindygilroy.com/,"Spence, Daniel Mcintyre, St. Matthews, Wolseley, Minto, Sargent Park, Colony, Portage-Ellice, Central Park"
St. James,True,St. James,2022,Shawn Dobson,Councillor,Conseiller,204-986-5848,204-986-3725,,"Polo Park, Kensington, King Edward, Bruce Park, Deer Lodge, Birchwood, Booth, Buchanan, Crestview, Heritage Park, Jameswood, Sturgeon Creek, Silver Heights, Woodhaven, Airport, Murray Industrial Park, St. James Industrial, Saskatchewan North, West Wolseley"
Fort Rouge - East Fort Garry,False,Fort Rouge-Fort Garry-Est,2018,Sherri Rollins,Councillor,Conseill&#232;re,204-986-5878,204-986-3725,,"West Broadway, Earl Grey, Ebby-Wentworth, Mcmillan, River-Osborne, Roslyn, Armstrong Point, South Portage, The Forks, Broadway-Assiniboine, Legislature, Point Road, Wildwood, Crescent Park, Lord Roberts, Riverview"
Transcona,False,Transcona,2018,Shawn Nason,Councillor,Conseiller,204-986-8087,204-986-3725,,"Melrose, Victoria West, Kern Park, Radisson, Kildare-Redonda, Canterbury Park, Meadows, Mission Gardens, Peguis, Grassie, Transcona South, Griffin, North Transcona Yards, Transcona Yards, Regent, Transcona North, Dugald, St. Boniface Industrial Park, Symington Yards, Southland Park"
Charleswood - Tuxedo - Whyte Ridge,False,Charleswood-Tuxedo-Whyte Ridge,2014,Marty Morantz,Councillor,Conseiller,204-986-5232,204-986-3725,http://www.martymorantz.ca/,"Varsity View, Edgeland, Eric Coy, Marlton, Tuxedo, Old Tuxedo, Ridgedale, River West Park, Roblin Park, Southboine, Vialoux, Westdale, Betsworth, Elmhurst, South Tuxedo, Whyte Ridge, Ridgewood South, Wilkes South, Assiniboine Park, Tuxedo Industrial, West Perimeter South"
Old Kildonan,True,Old Kildonan,2022,Devi Sharma,Councillor,Conseill&#232;re,204-986-5264,204-986-7806,http://www.devisharma.ca,"Garden City, The Maples, Leila-Mcphillips Triangle, Mandalay West, Templeton-Sinclair, Leila North, North Inkster Industrial, West Kildonan Industrial, Rosser-Old Kildonan, Amber Trails"
